Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tajikistan,TJK,28.842,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tanzania,TZA,38.186,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Thailand,THA,10.333,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Timor-Leste,TLS,35.048,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Togo,TGO,34.028,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tonga,TON,23.982,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Trinidad and Tobago,TTO,13.608,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tunisia,TUN,18.295,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkey,TUR,16.241,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkmenistan,TKM,25.373,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turks and Caicos Islands,TCA,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tuvalu,TUV,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uganda,UGA,42.144,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ukraine,UKR,10.3,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Arab Emirates,ARE,9.592,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Kingdom,GBR,11.8,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United States,USA,12.4,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Upper middle income,UMC,14.17158238,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uruguay,URY,14.034,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uzbekistan,UZB,22.8,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Vanuatu,VUT,25.855,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Venezuela, RB",VEN,19.03,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Vietnam,VNM,16.691,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Virgin Islands (U.S.),VIR,13,..,..
